"id","name","base_experience","height","weight","type 1","type 2","ability 1","ability 2","ability 3","move1","move2","move3","move4","hp","attack","defence","special attack","special defence","speed"
323,"camerupt",161,19,2200,"fire","ground","magma-armor"," solid-rock"," anger-point","headbutt"," tackle"," body-slam"," take-down",70,100,70,105,75,40
324,"torkoal",165,5,804,"fire",NA,"white-smoke"," drought"," shell-armor","headbutt"," body-slam"," take-down"," double-edge",70,85,140,85,70,20
325,"spoink",66,7,306,"psychic",NA,"thick-fat"," own-tempo"," gluttony","whirlwind"," headbutt"," body-slam"," take-down",60,25,35,70,80,60
326,"grumpig",165,9,715,"psychic",NA,"thick-fat"," own-tempo"," gluttony","mega-punch"," fire-punch"," ice-punch"," thunder-punch",80,45,65,90,110,80
327,"spinda",126,11,50,"normal",NA,"own-tempo"," tangled-feet"," contrary","mega-punch"," fire-punch"," ice-punch"," thunder-punch",60,60,60,60,60,60
328,"trapinch",58,7,150,"ground",NA,"hyper-cutter"," arena-trap"," sheer-force","gust"," sand-attack"," headbutt"," body-slam",45,100,45,45,45,10
329,"vibrava",119,11,153,"ground","dragon","levitate",NA,NA,"gust"," fly"," sand-attack"," headbutt",50,70,50,50,50,70
330,"flygon",234,20,820,"ground","dragon","levitate",NA,NA,"mega-punch"," fire-punch"," thunder-punch"," gust",80,100,80,80,80,100
331,"cacnea",67,4,513,"grass",NA,"sand-veil"," water-absorb",NA,"mega-punch"," thunder-punch"," swords-dance"," cut",50,85,40,85,40,35
332,"cacturne",166,13,774,"grass","dark","sand-veil"," water-absorb",NA,"mega-punch"," thunder-punch"," swords-dance"," cut",70,115,60,115,60,55
333,"swablu",62,4,12,"normal","flying","natural-cure"," cloud-nine",NA,"fly"," fury-attack"," body-slam"," take-down",45,40,60,40,75,50
334,"altaria",172,11,206,"dragon","flying","natural-cure"," cloud-nine",NA,"fly"," fury-attack"," body-slam"," take-down",75,70,90,70,105,80
335,"zangoose",160,13,403,"normal",NA,"immunity"," toxic-boost",NA,"mega-punch"," fire-punch"," ice-punch"," thunder-punch",73,115,60,60,60,90
336,"seviper",160,27,525,"poison",NA,"shed-skin"," infiltrator",NA,"swords-dance"," bind"," headbutt"," body-slam",73,100,60,100,60,65
337,"lunatone",161,10,1680,"rock","psychic","levitate",NA,NA,"tackle"," body-slam"," double-edge"," ice-beam",90,55,65,95,85,70
338,"solrock",161,12,1540,"rock","psychic","levitate",NA,NA,"swords-dance"," tackle"," body-slam"," double-edge",90,95,85,55,65,70
339,"barboach",58,4,19,"water","ground","oblivious"," anticipation"," hydration","headbutt"," take-down"," thrash"," double-edge",50,48,43,46,41,60
340,"whiscash",164,9,236,"water","ground","oblivious"," anticipation"," hydration","headbutt"," body-slam"," take-down"," thrash",110,78,73,76,71,60
341,"corphish",62,6,115,"water",NA,"hyper-cutter"," shell-armor"," adaptability","vice-grip"," guillotine"," swords-dance"," cut",43,80,65,50,35,35
342,"crawdaunt",164,11,328,"water","dark","hyper-cutter"," shell-armor"," adaptability","vice-grip"," guillotine"," swords-dance"," cut",63,120,85,90,55,55
343,"baltoy",60,5,215,"ground","psychic","levitate",NA,NA,"headbutt"," double-edge"," ice-beam"," psybeam",40,40,55,40,70,55
344,"claydol",175,15,1080,"ground","psychic","levitate",NA,NA,"headbutt"," double-edge"," ice-beam"," psybeam",60,70,105,70,120,75
345,"lileep",71,10,238,"rock","grass","suction-cups"," storm-drain",NA,"swords-dance"," bind"," body-slam"," wrap",66,41,77,61,87,23
346,"cradily",173,15,604,"rock","grass","suction-cups"," storm-drain",NA,"swords-dance"," bind"," headbutt"," body-slam",86,81,97,81,107,43
347,"anorith",71,7,125,"rock","bug","battle-armor"," swift-swim",NA,"scratch"," swords-dance"," cut"," sand-attack",45,95,50,40,50,75
348,"armaldo",173,15,682,"rock","bug","battle-armor"," swift-swim",NA,"scratch"," swords-dance"," cut"," headbutt",75,125,100,70,80,45
349,"feebas",40,6,74,"water",NA,"swift-swim"," oblivious"," adaptability","tackle"," double-edge"," mist"," surf",20,15,20,10,55,80
350,"milotic",189,62,1620,"water",NA,"marvel-scale"," competitive"," cute-charm","bind"," tackle"," body-slam"," wrap",95,60,79,100,125,81
351,"castform",147,3,8,"normal",NA,"forecast",NA,NA,"headbutt"," tackle"," body-slam"," double-edge",70,70,70,70,70,70
352,"kecleon",154,10,220,"normal",NA,"color-change"," protean",NA,"mega-punch"," fire-punch"," ice-punch"," thunder-punch",60,90,70,60,120,40
353,"shuppet",59,6,23,"ghost",NA,"insomnia"," frisk"," cursed-body","headbutt"," body-slam"," double-edge"," disable",44,75,35,63,33,45
354,"banette",159,11,125,"ghost",NA,"insomnia"," frisk"," cursed-body","swords-dance"," headbutt"," body-slam"," double-edge",64,115,65,83,63,65
355,"duskull",59,8,150,"ghost",NA,"levitate"," frisk",NA,"headbutt"," body-slam"," double-edge"," leer",20,40,90,30,90,25
356,"dusclops",159,16,306,"ghost",NA,"pressure"," frisk",NA,"mega-punch"," fire-punch"," ice-punch"," thunder-punch",40,70,130,60,130,25
357,"tropius",161,20,1000,"grass","flying","chlorophyll"," solar-power"," harvest","razor-wind"," swords-dance"," cut"," gust",99,68,83,72,87,51
358,"chimecho",159,6,10,"psychic",NA,"levitate",NA,NA,"bind"," tackle"," wrap"," take-down",75,50,80,95,90,65
359,"absol",163,12,470,"dark",NA,"pressure"," super-luck"," justified","scratch"," razor-wind"," swords-dance"," cut",65,130,60,75,60,75
360,"wynaut",52,6,140,"psychic",NA,"shadow-tag"," telepathy",NA,"counter"," amnesia"," splash"," destiny-bond",95,23,48,23,48,23
361,"snorunt",60,7,168,"ice",NA,"inner-focus"," ice-body"," moody","headbutt"," body-slam"," take-down"," double-edge",50,50,50,50,50,50
362,"glalie",168,15,2565,"ice",NA,"inner-focus"," ice-body"," moody","headbutt"," body-slam"," take-down"," double-edge",80,80,80,80,80,80
363,"spheal",58,8,395,"ice","water","thick-fat"," ice-body"," oblivious","headbutt"," body-slam"," double-edge"," growl",70,40,50,55,50,25
364,"sealeo",144,11,876,"ice","water","thick-fat"," ice-body"," oblivious","headbutt"," body-slam"," double-edge"," growl",90,60,70,75,70,45
365,"walrein",239,14,1506,"ice","water","thick-fat"," ice-body"," oblivious","swords-dance"," headbutt"," body-slam"," double-edge",110,80,90,95,90,65
366,"clamperl",69,4,525,"water",NA,"shell-armor"," rattled",NA,"body-slam"," double-edge"," supersonic"," water-gun",35,64,85,74,55,32
367,"huntail",170,17,270,"water",NA,"swift-swim"," water-veil",NA,"bind"," body-slam"," double-edge"," bite",55,104,105,94,75,52
368,"gorebyss",170,18,226,"water",NA,"swift-swim"," hydration",NA,"bind"," body-slam"," double-edge"," water-gun",55,84,105,114,75,52
369,"relicanth",170,10,234,"water","rock","swift-swim"," rock-head"," sturdy","headbutt"," tackle"," body-slam"," take-down",100,90,130,45,65,55
370,"luvdisc",116,6,87,"water",NA,"swift-swim"," hydration",NA,"tackle"," take-down"," double-edge"," supersonic",43,30,55,40,65,97
371,"bagon",60,6,421,"dragon",NA,"rock-head"," sheer-force",NA,"cut"," headbutt"," body-slam"," take-down",45,75,60,40,30,50
372,"shelgon",147,11,1105,"dragon",NA,"rock-head"," overcoat",NA,"cut"," headbutt"," body-slam"," take-down",65,95,100,60,50,50
373,"salamence",270,15,1026,"dragon","flying","intimidate"," moxie",NA,"cut"," fly"," headbutt"," body-slam",95,135,80,110,80,100
374,"beldum",60,6,952,"steel","psychic","clear-body"," light-metal",NA,"headbutt"," tackle"," take-down"," iron-defense",40,55,80,35,60,30
375,"metang",147,12,2025,"steel","psychic","clear-body"," light-metal",NA,"ice-punch"," thunder-punch"," cut"," headbutt",60,75,100,55,80,50
376,"metagross",270,16,5500,"steel","psychic","clear-body"," light-metal",NA,"ice-punch"," thunder-punch"," cut"," headbutt",80,135,130,95,90,70
377,"regirock",261,17,2300,"rock",NA,"clear-body"," sturdy",NA,"mega-punch"," fire-punch"," ice-punch"," thunder-punch",80,100,200,50,100,50
378,"regice",261,18,1750,"ice",NA,"clear-body"," ice-body",NA,"mega-punch"," ice-punch"," thunder-punch"," stomp",80,50,100,100,200,50
379,"registeel",261,19,2050,"steel",NA,"clear-body"," light-metal",NA,"mega-punch"," ice-punch"," thunder-punch"," stomp",80,75,150,75,150,50
380,"latias",270,14,400,"dragon","psychic","levitate",NA,NA,"cut"," fly"," body-slam"," take-down",80,80,90,110,130,110
381,"latios",270,20,600,"dragon","psychic","levitate",NA,NA,"cut"," fly"," body-slam"," take-down",80,90,80,130,110,110
382,"kyogre",302,45,3520,"water",NA,"drizzle",NA,NA,"headbutt"," body-slam"," take-down"," double-edge",100,100,90,150,140,90
383,"groudon",302,35,9500,"ground",NA,"drought",NA,NA,"mega-punch"," fire-punch"," thunder-punch"," swords-dance",100,150,140,100,90,90
384,"rayquaza",306,70,2065,"dragon","flying","air-lock",NA,NA,"swords-dance"," fly"," bind"," headbutt",105,150,90,150,90,95
385,"jirachi",270,3,11,"steel","psychic","serene-grace",NA,NA,"mega-punch"," fire-punch"," ice-punch"," thunder-punch",100,100,100,100,100,100
386,"deoxys-normal",270,17,608,"psychic",NA,"pressure",NA,NA,"fire-punch"," ice-punch"," thunder-punch"," cut",50,150,50,150,50,150
387,"turtwig",64,4,102,"grass",NA,"overgrow"," shell-armor",NA,"swords-dance"," cut"," headbutt"," tackle",55,68,64,45,55,31
388,"grotle",142,11,970,"grass",NA,"overgrow"," shell-armor",NA,"swords-dance"," cut"," headbutt"," tackle",75,89,85,55,65,36
389,"torterra",236,22,3100,"grass","ground","overgrow"," shell-armor",NA,"swords-dance"," cut"," headbutt"," tackle",95,109,105,75,85,56
390,"chimchar",62,5,62,"fire",NA,"blaze"," iron-fist",NA,"fire-punch"," thunder-punch"," scratch"," swords-dance",44,58,44,58,44,61
391,"monferno",142,9,220,"fire","fighting","blaze"," iron-fist",NA,"fire-punch"," thunder-punch"," scratch"," swords-dance",64,78,52,78,52,81
392,"infernape",240,12,550,"fire","fighting","blaze"," iron-fist",NA,"fire-punch"," thunder-punch"," scratch"," swords-dance",76,104,71,104,71,108
393,"piplup",63,4,52,"water",NA,"torrent"," competitive",NA,"pound"," cut"," headbutt"," fury-attack",53,51,53,61,56,40
394,"prinplup",142,8,230,"water",NA,"torrent"," competitive",NA,"pound"," cut"," headbutt"," fury-attack",64,66,68,81,76,50
395,"empoleon",239,17,845,"water","steel","torrent"," competitive",NA,"pound"," swords-dance"," cut"," headbutt",84,86,88,111,101,60
396,"starly",49,3,20,"normal","flying","keen-eye"," reckless",NA,"gust"," wing-attack"," whirlwind"," fly",40,55,30,30,30,60
397,"staravia",119,6,155,"normal","flying","intimidate"," reckless",NA,"gust"," wing-attack"," whirlwind"," fly",55,75,50,40,40,80
398,"staraptor",218,12,249,"normal","flying","intimidate"," reckless",NA,"gust"," wing-attack"," whirlwind"," fly",85,120,70,50,60,100
399,"bidoof",50,5,200,"normal",NA,"simple"," unaware"," moody","swords-dance"," cut"," headbutt"," tackle",59,45,40,35,40,31
400,"bibarel",144,10,315,"normal","water","simple"," unaware"," moody","swords-dance"," cut"," headbutt"," tackle",79,85,60,55,60,71
401,"kricketot",39,3,22,"bug",NA,"shed-skin"," run-away",NA,"pound"," tackle"," growl"," absorb",37,25,41,25,41,25
402,"kricketune",134,10,255,"bug",NA,"swarm"," technician",NA,"pound"," swords-dance"," cut"," tackle",77,85,51,55,51,65
403,"shinx",53,5,95,"electric",NA,"rivalry"," intimidate"," guts","double-kick"," headbutt"," tackle"," take-down",45,65,34,40,34,45
404,"luxio",127,9,305,"electric",NA,"rivalry"," intimidate"," guts","headbutt"," tackle"," take-down"," double-edge",60,85,49,60,49,60
405,"luxray",235,14,420,"electric",NA,"rivalry"," intimidate"," guts","headbutt"," tackle"," body-slam"," take-down",80,120,79,95,79,70
406,"budew",56,2,12,"grass","poison","natural-cure"," poison-point"," leaf-guard","swords-dance"," cut"," poison-sting"," pin-missile",40,30,35,50,70,55
407,"roserade",232,9,145,"grass","poison","natural-cure"," poison-point"," technician","swords-dance"," cut"," body-slam"," poison-sting",60,70,65,125,105,90
408,"cranidos",70,9,315,"rock",NA,"mold-breaker"," sheer-force",NA,"fire-punch"," thunder-punch"," swords-dance"," whirlwind",67,125,40,30,30,58
409,"rampardos",173,16,1025,"rock",NA,"mold-breaker"," sheer-force",NA,"fire-punch"," thunder-punch"," swords-dance"," cut",97,165,60,65,50,58
410,"shieldon",70,5,570,"rock","steel","sturdy"," soundproof",NA,"headbutt"," tackle"," body-slam"," take-down",30,42,118,42,88,30
411,"bastiodon",173,13,1495,"rock","steel","sturdy"," soundproof",NA,"headbutt"," tackle"," body-slam"," take-down",60,52,168,47,138,30
412,"burmy-plant",45,2,34,"bug",NA,"shed-skin"," overcoat",NA,"tackle"," string-shot"," snore"," protect",40,29,45,29,45,36
413,"wormadam-plant",148,5,65,"bug","grass","anticipation"," overcoat",NA,"gust"," tackle"," psybeam"," hyper-beam",60,59,85,79,105,36
414,"mothim-plant",148,9,233,"bug","flying","swarm"," tinted-lens",NA,"gust"," tackle"," psybeam"," hyper-beam",70,94,50,94,50,66
415,"combee",49,3,55,"bug","flying","honey-gather"," hustle",NA,"gust"," string-shot"," swift"," snore",30,30,42,30,42,70
416,"vespiquen",166,12,385,"bug","flying","pressure"," unnerve",NA,"cut"," gust"," take-down"," poison-sting",70,80,102,80,102,40
417,"pachirisu",142,4,39,"electric",NA,"run-away"," pickup"," volt-absorb","thunder-punch"," cut"," headbutt"," take-down",60,45,70,45,90,95
418,"buizel",66,7,295,"water",NA,"swift-swim"," water-veil",NA,"double-slap"," ice-punch"," razor-wind"," headbutt",55,65,35,60,30,85
419,"floatzel",173,11,335,"water",NA,"swift-swim"," water-veil",NA,"ice-punch"," razor-wind"," headbutt"," tackle",85,105,55,85,50,115
420,"cherubi",55,4,33,"grass",NA,"chlorophyll",NA,NA,"swords-dance"," tackle"," take-down"," double-edge",45,35,45,62,53,35
421,"cherrim-overcast",158,5,93,"grass",NA,"flower-gift",NA,NA,"swords-dance"," tackle"," take-down"," double-edge",70,60,70,87,78,85
422,"shellos-west",65,3,63,"water",NA,"sticky-hold"," storm-drain"," sand-force","headbutt"," tackle"," body-slam"," take-down",76,48,48,57,62,34
423,"gastrodon-west",166,9,299,"water","ground","sticky-hold"," storm-drain"," sand-force","headbutt"," tackle"," body-slam"," take-down",111,83,68,92,82,39
424,"ambipom",169,12,203,"normal",NA,"technician"," pickup"," skill-link","fire-punch"," ice-punch"," thunder-punch"," scratch",75,100,66,60,66,115
425,"drifloon",70,4,12,"ghost","flying","aftermath"," unburden"," flare-boost","cut"," gust"," fly"," bind",90,50,34,60,44,70
426,"drifblim",174,12,150,"ghost","flying","aftermath"," unburden"," flare-boost","cut"," gust"," fly"," bind",150,80,44,90,54,80
427,"buneary",70,4,55,"normal",NA,"run-away"," klutz"," limber","pound"," mega-punch"," fire-punch"," ice-punch",55,66,44,44,56,85
428,"lopunny",168,12,333,"normal",NA,"cute-charm"," klutz"," limber","pound"," mega-punch"," fire-punch"," ice-punch",65,76,84,54,96,105
429,"mismagius",173,9,44,"ghost",NA,"levitate",NA,NA,"headbutt"," growl"," psybeam"," hyper-beam",60,60,60,105,105,105
430,"honchkrow",177,9,273,"dark","flying","insomnia"," super-luck"," moxie","gust"," wing-attack"," fly"," take-down",100,125,52,105,52,71
431,"glameow",62,5,39,"normal",NA,"limber"," own-tempo"," keen-eye","scratch"," cut"," sand-attack"," headbutt",49,55,42,42,37,85
432,"purugly",158,10,438,"normal",NA,"thick-fat"," own-tempo"," defiant","scratch"," cut"," headbutt"," tackle",71,82,64,64,59,112
433,"chingling",57,2,6,"psychic",NA,"levitate",NA,NA,"bind"," tackle"," wrap"," double-edge",45,30,50,65,50,45
434,"stunky",66,4,192,"poison","dark","stench"," aftermath"," keen-eye","scratch"," cut"," headbutt"," tackle",63,63,47,41,41,74
435,"skuntank",168,10,380,"poison","dark","stench"," aftermath"," keen-eye","scratch"," cut"," headbutt"," tackle",103,93,67,71,61,84
436,"bronzor",60,5,605,"steel","psychic","levitate"," heatproof"," heavy-metal","tackle"," body-slam"," take-down"," solar-beam",57,24,86,24,86,23
437,"bronzong",175,13,1870,"steel","psychic","levitate"," heatproof"," heavy-metal","tackle"," body-slam"," take-down"," psybeam",67,89,116,79,116,33
438,"bonsly",58,5,150,"rock",NA,"sturdy"," rock-head"," rattled","slam"," headbutt"," tackle"," body-slam",50,80,95,10,45,10
439,"mime-jr",62,6,130,"psychic","fairy","soundproof"," filter"," technician","pound"," double-slap"," headbutt"," psybeam",20,25,45,70,90,60
440,"happiny",110,6,244,"normal",NA,"natural-cure"," serene-grace"," friend-guard","pound"," headbutt"," tackle"," take-down",100,5,5,15,65,30
441,"chatot",144,5,19,"normal","flying","keen-eye"," tangled-feet"," big-pecks","gust"," fly"," fury-attack"," growl",76,65,45,92,42,91
442,"spiritomb",170,10,1080,"ghost","dark","pressure"," infiltrator",NA,"body-slam"," disable"," psybeam"," hyper-beam",50,92,108,92,108,35
443,"gible",60,7,205,"dragon","ground","sand-veil"," rough-skin",NA,"swords-dance"," cut"," sand-attack"," headbutt",58,70,45,40,45,42
444,"gabite",144,14,560,"dragon","ground","sand-veil"," rough-skin",NA,"swords-dance"," cut"," sand-attack"," headbutt",68,90,65,50,55,82
445,"garchomp",270,19,950,"dragon","ground","sand-veil"," rough-skin",NA,"swords-dance"," cut"," sand-attack"," headbutt",108,130,95,80,85,102
446,"munchlax",78,6,1050,"normal",NA,"pickup"," thick-fat"," gluttony","mega-punch"," pay-day"," fire-punch"," ice-punch",135,85,40,40,85,5
447,"riolu",57,7,202,"fighting",NA,"steadfast"," inner-focus"," prankster","mega-punch"," ice-punch"," thunder-punch"," swords-dance",40,70,40,35,40,60
448,"lucario",184,12,540,"fighting","steel","steadfast"," inner-focus"," justified","mega-punch"," ice-punch"," thunder-punch"," swords-dance",70,110,70,115,70,90
449,"hippopotas",66,8,495,"ground",NA,"sand-stream"," sand-force",NA,"whirlwind"," sand-attack"," headbutt"," tackle",68,72,78,38,42,32
450,"hippowdon",184,20,3000,"ground",NA,"sand-stream"," sand-force",NA,"sand-attack"," headbutt"," tackle"," body-slam",108,112,118,68,72,47
451,"skorupi",66,8,120,"poison","bug","battle-armor"," sniper"," keen-eye","swords-dance"," cut"," whirlwind"," sand-attack",40,50,90,30,55,65
452,"drapion",175,13,615,"poison","dark","battle-armor"," sniper"," keen-eye","swords-dance"," cut"," headbutt"," poison-sting",70,90,110,60,75,95
453,"croagunk",60,7,230,"poison","fighting","anticipation"," dry-skin"," poison-touch","mega-punch"," ice-punch"," thunder-punch"," mega-kick",48,61,40,61,40,50
454,"toxicroak",172,13,444,"poison","fighting","anticipation"," dry-skin"," poison-touch","mega-punch"," ice-punch"," thunder-punch"," swords-dance",83,106,65,86,65,85
455,"carnivine",159,14,270,"grass",NA,"levitate",NA,NA,"swords-dance"," cut"," bind"," slam",74,100,72,90,72,46
456,"finneon",66,4,70,"water",NA,"swift-swim"," storm-drain"," water-veil","pound"," gust"," take-down"," water-gun",49,49,56,49,61,66
457,"lumineon",161,12,240,"water",NA,"swift-swim"," storm-drain"," water-veil","pound"," gust"," take-down"," water-gun",69,69,76,69,86,91
458,"mantyke",69,10,650,"water","flying","swift-swim"," water-absorb"," water-veil","wing-attack"," slam"," headbutt"," tackle",45,20,50,60,120,50
459,"snover",67,10,505,"grass","ice","snow-warning"," soundproof",NA,"mega-punch"," ice-punch"," swords-dance"," stomp",60,62,50,62,60,40
460,"abomasnow",173,22,1355,"grass","ice","snow-warning"," soundproof",NA,"mega-punch"," ice-punch"," swords-dance"," mega-kick",90,92,75,92,85,60
461,"weavile",179,11,340,"dark","ice","pressure"," pickpocket",NA,"mega-punch"," ice-punch"," scratch"," swords-dance",70,120,65,45,85,125
462,"magnezone",241,12,1800,"electric","steel","magnet-pull"," sturdy"," analytic","tackle"," body-slam"," take-down"," double-edge",70,70,115,130,90,60
463,"lickilicky",180,17,1400,"normal",NA,"own-tempo"," oblivious"," cloud-nine","mega-punch"," fire-punch"," ice-punch"," thunder-punch",110,85,95,80,95,50
464,"rhyperior",241,24,2828,"ground","rock","lightning-rod"," solid-rock"," reckless","mega-punch"," pay-day"," fire-punch"," ice-punch",115,140,130,55,55,40
465,"tangrowth",187,20,1286,"grass",NA,"chlorophyll"," leaf-guard"," regenerator","swords-dance"," cut"," bind"," slam",100,100,125,110,50,50
466,"electivire",243,18,1386,"electric",NA,"motor-drive"," vital-spirit",NA,"mega-punch"," fire-punch"," ice-punch"," thunder-punch",75,123,67,95,85,95
467,"magmortar",243,16,680,"fire",NA,"flame-body"," vital-spirit",NA,"mega-punch"," fire-punch"," thunder-punch"," mega-kick",75,95,67,125,95,83
468,"togekiss",245,15,380,"fairy","flying","hustle"," serene-grace"," super-luck","pound"," mega-punch"," fly"," mega-kick",85,50,95,120,115,80
469,"yanmega",180,19,515,"bug","flying","speed-boost"," tinted-lens"," frisk","swords-dance"," gust"," wing-attack"," whirlwind",86,76,86,116,56,95
470,"leafeon",184,10,255,"grass",NA,"leaf-guard"," chlorophyll",NA,"pay-day"," swords-dance"," sand-attack"," headbutt",65,110,130,60,65,95
471,"glaceon",184,8,259,"ice",NA,"snow-cloak"," ice-body",NA,"pay-day"," sand-attack"," headbutt"," tackle",65,60,110,130,95,65
472,"gliscor",179,20,425,"ground","flying","hyper-cutter"," sand-veil"," poison-heal","guillotine"," swords-dance"," cut"," wing-attack",75,95,125,45,75,95
473,"mamoswine",239,25,2910,"ice","ground","oblivious"," snow-cloak"," thick-fat","headbutt"," fury-attack"," tackle"," body-slam",110,130,80,70,60,80
474,"porygon-z",241,9,340,"normal",NA,"adaptability"," download"," analytic","tackle"," take-down"," double-edge"," ice-beam",85,80,70,135,75,90
475,"gallade",233,16,520,"psychic","fighting","steadfast"," sharpness"," justified","mega-punch"," fire-punch"," ice-punch"," thunder-punch",68,125,65,65,115,80
476,"probopass",184,14,3400,"rock","steel","sturdy"," magnet-pull"," sand-force","fire-punch"," ice-punch"," thunder-punch"," headbutt",60,55,145,75,150,40
477,"dusknoir",236,22,1066,"ghost",NA,"pressure"," frisk",NA,"mega-punch"," fire-punch"," ice-punch"," thunder-punch",45,100,135,65,135,45
478,"froslass",168,13,266,"ice","ghost","snow-cloak"," cursed-body",NA,"ice-punch"," headbutt"," body-slam"," take-down",70,80,70,80,70,110
479,"rotom",154,3,3,"electric","ghost","levitate",NA,NA,"thunder-shock"," thunderbolt"," thunder-wave"," thunder",50,50,77,95,77,91
480,"uxie",261,3,3,"psychic",NA,"levitate",NA,NA,"fire-punch"," ice-punch"," thunder-punch"," headbutt",75,75,130,75,130,95
481,"mesprit",261,3,3,"psychic",NA,"levitate",NA,NA,"fire-punch"," ice-punch"," thunder-punch"," headbutt",80,105,105,105,105,80
482,"azelf",261,3,3,"psychic",NA,"levitate",NA,NA,"fire-punch"," ice-punch"," thunder-punch"," headbutt",75,125,70,125,70,115
483,"dialga",306,54,6830,"steel","dragon","pressure"," telepathy",NA,"cut"," headbutt"," body-slam"," take-down",100,120,120,150,100,90
484,"palkia",306,42,3360,"water","dragon","pressure"," telepathy",NA,"cut"," headbutt"," body-slam"," take-down",90,120,100,150,120,100
485,"heatran",270,17,4300,"fire","steel","flash-fire"," flame-body",NA,"headbutt"," body-slam"," take-down"," leer",91,90,106,130,106,77
486,"regigigas",302,37,4200,"normal",NA,"slow-start",NA,NA,"pound"," mega-punch"," fire-punch"," ice-punch",110,160,110,80,110,100
487,"giratina-altered",306,45,7500,"ghost","dragon","pressure"," telepathy",NA,"cut"," fly"," headbutt"," body-slam",150,100,120,100,120,90
488,"cresselia",270,15,856,"psychic",NA,"levitate",NA,NA,"tackle"," body-slam"," mist"," ice-beam",120,70,110,75,120,85
489,"phione",216,4,31,"water",NA,"hydration",NA,NA,"supersonic"," water-gun"," hydro-pump"," surf",80,80,80,80,80,80
490,"manaphy",270,3,14,"water",NA,"hydration",NA,NA,"supersonic"," water-gun"," hydro-pump"," surf",100,100,100,100,100,100
491,"darkrai",270,15,505,"dark",NA,"bad-dreams",NA,NA,"swords-dance"," cut"," headbutt"," disable",70,90,90,135,90,125
492,"shaymin-land",270,2,21,"grass",NA,"natural-cure",NA,NA,"swords-dance"," headbutt"," take-down"," double-edge",100,100,100,100,100,100
493,"arceus-normal",324,32,3200,"normal",NA,"multitype",NA,NA,"swords-dance"," cut"," fly"," headbutt",120,120,120,120,120,120
494,"victini",270,4,40,"psychic","fire","victory-star",NA,NA,"mega-punch"," fire-punch"," thunder-punch"," mega-kick",100,100,100,100,100,100
495,"snivy",62,6,81,"grass",NA,"overgrow"," contrary",NA,"swords-dance"," cut"," bind"," slam",45,45,55,45,55,63
496,"servine",145,8,160,"grass",NA,"overgrow"," contrary",NA,"swords-dance"," cut"," bind"," slam",60,60,75,60,75,83
497,"serperior",238,33,630,"grass",NA,"overgrow"," contrary",NA,"swords-dance"," cut"," bind"," slam",75,75,95,75,95,113
498,"tepig",62,5,99,"fire",NA,"blaze"," thick-fat",NA,"fire-punch"," tackle"," body-slam"," take-down",65,63,45,45,45,45
499,"pignite",146,10,555,"fire","fighting","blaze"," thick-fat",NA,"fire-punch"," thunder-punch"," tackle"," body-slam",90,93,55,70,55,55
500,"emboar",238,16,1500,"fire","fighting","blaze"," reckless",NA,"fire-punch"," thunder-punch"," tackle"," body-slam",110,123,65,100,65,65
501,"oshawott",62,5,59,"water",NA,"torrent"," shell-armor",NA,"swords-dance"," cut"," tackle"," take-down",55,55,45,63,45,45
502,"dewott",145,8,245,"water",NA,"torrent"," shell-armor",NA,"swords-dance"," cut"," tackle"," take-down",75,75,60,83,60,60
503,"samurott",238,15,946,"water",NA,"torrent"," shell-armor",NA,"swords-dance"," cut"," tackle"," body-slam",95,100,85,108,70,70
504,"patrat",51,5,116,"normal",NA,"run-away"," keen-eye"," analytic","swords-dance"," cut"," slam"," sand-attack",45,55,39,35,39,42
505,"watchog",147,11,270,"normal",NA,"illuminate"," keen-eye"," analytic","fire-punch"," ice-punch"," thunder-punch"," swords-dance",60,85,69,60,69,77
506,"lillipup",55,4,41,"normal",NA,"vital-spirit"," pickup"," run-away","sand-attack"," tackle"," take-down"," leer",45,60,45,25,45,55
507,"herdier",130,9,147,"normal",NA,"intimidate"," sand-rush"," scrappy","tackle"," take-down"," leer"," bite",65,80,65,35,65,60
508,"stoutland",225,12,610,"normal",NA,"intimidate"," sand-rush"," scrappy","tackle"," take-down"," leer"," bite",85,110,90,45,90,80
509,"purrloin",56,4,101,"dark",NA,"limber"," unburden"," prankster","pay-day"," scratch"," cut"," sand-attack",41,50,37,50,37,66
510,"liepard",156,11,375,"dark",NA,"limber"," unburden"," prankster","pay-day"," scratch"," cut"," sand-attack",64,88,50,88,50,106
511,"pansage",63,6,105,"grass",NA,"gluttony"," overgrow",NA,"scratch"," cut"," vine-whip"," leer",50,53,48,53,48,64
512,"simisage",174,11,305,"grass",NA,"gluttony"," overgrow",NA,"cut"," leer"," hyper-beam"," low-kick",75,98,63,98,63,101
513,"pansear",63,6,110,"fire",NA,"gluttony"," blaze",NA,"fire-punch"," scratch"," cut"," leer",50,53,48,53,48,64
514,"simisear",174,10,280,"fire",NA,"gluttony"," blaze",NA,"fire-punch"," cut"," leer"," flamethrower",75,98,63,98,63,101
515,"panpour",63,6,135,"water",NA,"gluttony"," torrent",NA,"ice-punch"," scratch"," cut"," leer",50,53,48,53,48,64
516,"simipour",174,10,290,"water",NA,"gluttony"," torrent",NA,"ice-punch"," cut"," leer"," surf",75,98,63,98,63,101
517,"munna",58,6,233,"psychic",NA,"forewarn"," synchronize"," telepathy","sonic-boom"," psybeam"," thunder-wave"," toxic",76,25,45,67,55,24
